task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
889	c9/67ef08	24923	bwaMem (888)	COMPLETED	0	2020-09-18 06:40:20.131	2m 54s	2m 53s	92.9%	527.6 MB	1.1 GB	522.3 MB	502.4 MB
888	b0/2a08c1	27972	bwaMem (887)	COMPLETED	0	2020-09-18 06:35:24.469	8m 44s	8m 43s	95.6%	1 GB	1.4 GB	2 GB	1.9 GB
894	f7/3b9a3c	15866	bwaMem (893)	COMPLETED	0	2020-09-18 06:44:08.220	1m 51s	1m 50s	92.5%	418.5 MB	1 GB	371.7 MB	380 MB
882	cd/659990	10130	bwaMem (881)	COMPLETED	0	2020-09-18 06:28:10.339	18m 29s	18m 29s	95.7%	1 GB	1.4 GB	4.4 GB	4.2 GB
893	13/b1d3c9	2912	bwaMem (892)	COMPLETED	0	2020-09-18 06:42:04.062	5m 38s	5m 37s	96.0%	1 GB	1.4 GB	1.6 GB	1.6 GB
891	7a/e2cc1e	13176	bwaMem (890)	COMPLETED	0	2020-09-18 06:38:21.394	9m 47s	9m 46s	96.8%	1 GB	1.4 GB	2.6 GB	2.6 GB
897	13/39f015	10542	bwaMem (896)	COMPLETED	0	2020-09-18 06:43:14.034	6m 25s	6m 24s	96.4%	1 GB	1.3 GB	1.8 GB	1.8 GB
896	3a/42f8e1	26224	bwaMem (895)	COMPLETED	0	2020-09-18 06:45:59.003	7m 4s	7m 3s	94.1%	1 GB	1.3 GB	1.9 GB	1.9 GB
898	9e/e38fbb	30511	bwaMem (897)	COMPLETED	0	2020-09-18 06:46:39.264	6m 43s	6m 42s	96.3%	1 GB	1.3 GB	1.9 GB	1.9 GB
901	df/362908	4636	bwaMem (900)	COMPLETED	0	2020-09-18 06:47:41.637	6m 32s	6m 32s	95.5%	1 GB	1.3 GB	1.8 GB	1.8 GB
895	db/e57273	5199	bwaMem (894)	COMPLETED	0	2020-09-18 06:42:20.731	12m 37s	12m 37s	95.6%	1.1 GB	1.4 GB	3.1 GB	2.9 GB
902	7c/1e855c	7837	bwaMem (901)	COMPLETED	0	2020-09-18 06:53:22.447	3m 4s	3m 3s	94.7%	560.2 MB	1.1 GB	559 MB	542.9 MB
