task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
223	f5/c5221c	14086	mem (222)	COMPLETED	0	2020-09-21 21:28:04.824	7m 5s	7m 2s	98.0%	1.2 GB	1.4 GB	385.8 MB	1.7 GB
232	43/b1a237	8364	mem (231)	COMPLETED	0	2020-09-21 21:32:50.214	2m 35s	2m 31s	94.8%	805.1 MB	974.2 MB	98.6 MB	421.3 MB
228	8f/802df1	5196	mem (227)	COMPLETED	0	2020-09-21 21:32:18.637	3m 7s	3m 3s	95.7%	869.6 MB	1.1 GB	110.3 MB	488.2 MB
220	2c/917482	5599	mem (219)	COMPLETED	0	2020-09-21 21:26:36.002	9m 3s	8m 59s	98.5%	1.2 GB	1.5 GB	507.7 MB	1.8 GB
229	92/fb8873	32404	mem (228)	COMPLETED	0	2020-09-21 21:31:20.603	5m 52s	5m 49s	99.2%	1.2 GB	1.5 GB	324.2 MB	1.4 GB
226	29/d9444d	28212	mem (225)	COMPLETED	0	2020-09-21 21:30:38.312	6m 40s	6m 37s	97.5%	1.2 GB	1.5 GB	350.3 MB	1.6 GB
221	70/f5490c	9284	mem (220)	COMPLETED	0	2020-09-21 21:27:18.314	10m 8s	10m 4s	98.2%	1.2 GB	1.4 GB	525.8 MB	2 GB
235	1d/c37e79	24316	mem (234)	COMPLETED	0	2020-09-21 21:35:38.521	2m 20s	2m 17s	96.9%	895.5 MB	1.1 GB	84 MB	417.5 MB
239	80/a81131	5898	mem (238)	COMPLETED	0	2020-09-21 21:37:58.350	45.2s	40s	91.9%	212.7 MB	406.8 MB	33.2 MB	120.9 MB
237	b3/5b426b	2455	mem (236)	COMPLETED	0	2020-09-21 21:37:26.065	1m 57s	1m 54s	95.0%	873.9 MB	1 GB	95.4 MB	406.1 MB
225	a3/22e241	24787	mem (224)	COMPLETED	0	2020-09-21 21:30:07.326	9m 57s	9m 55s	97.5%	1.1 GB	1.3 GB	295.7 MB	2 GB
234	13/5d1830	22305	mem (233)	COMPLETED	0	2020-09-21 21:35:25.578	5m	4m 58s	98.8%	1.2 GB	1.4 GB	282.9 MB	1.2 GB
240	bf/d8d385	10231	mem (239)	COMPLETED	0	2020-09-21 21:38:43.614	2m 30s	2m 26s	95.6%	800.6 MB	974.2 MB	100.3 MB	421.6 MB
231	ea/dcd69a	22265	mem (230)	COMPLETED	0	2020-09-21 21:35:25.456	6m 50s	6m 47s	98.1%	1.2 GB	1.5 GB	379.8 MB	1.7 GB
230	9b/3c1c69	368	mem (229)	COMPLETED	0	2020-09-21 21:37:12.629	5m 35s	5m 32s	97.9%	1.2 GB	1.4 GB	309.6 MB	1.4 GB
233	a5/771326	20255	mem (232)	COMPLETED	0	2020-09-21 21:35:09.462	8m 8s	8m 4s	98.2%	1.2 GB	1.4 GB	422.5 MB	1.6 GB
236	fc/ccb959	1237	mem (235)	COMPLETED	0	2020-09-21 21:37:18.501	6m 6s	6m 2s	99.9%	1.2 GB	1.4 GB	325.5 MB	1.4 GB
247	36/11e72c	17981	mem (246)	COMPLETED	0	2020-09-21 21:40:04.723	5m 51s	5m 48s	97.3%	1.2 GB	1.5 GB	313.4 MB	1.4 GB
251	88/d76055	1414	mem (250)	COMPLETED	0	2020-09-21 21:42:47.148	5m 53s	5m 50s	95.9%	1.1 GB	1.3 GB	224 MB	1.1 GB
244	d9/dc7c7c	5309	mem (243)	COMPLETED	0	2020-09-21 21:43:24.038	6m 22s	6m 19s	97.8%	1.2 GB	1.4 GB	334.1 MB	1.5 GB
245	76/5ad3b5	18506	mem (244)	COMPLETED	0	2020-09-21 21:45:56.029	5m 11s	5m 8s	96.2%	1.2 GB	1.5 GB	226.1 MB	1.2 GB
238	64/c674bf	13973	mem (237)	COMPLETED	0	2020-09-21 21:39:22.938	12m 49s	12m 46s	98.4%	1.2 GB	1.4 GB	634.9 MB	3.2 GB
