task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
722	88/be09ea	27019	samtoolsIndex (721)	COMPLETED	0	2020-09-18 16:49:19.595	45.9s	45.7s	66.9%	6.3 MB	29.6 MB	1.1 GB	16.6 KB
745	72/3e0f58	8406	samtoolsIndex (744)	COMPLETED	0	2020-09-18 16:50:02.040	3.6s	3.4s	66.6%	6.1 MB	29.5 MB	87.5 MB	13.3 KB
743	e0/9e4d31	5835	samtoolsIndex (742)	COMPLETED	0	2020-09-18 16:49:54.252	14.1s	13.8s	61.7%	6.3 MB	29.6 MB	354.2 MB	14 KB
752	91/71695c	9619	samtoolsIndex (751)	COMPLETED	0	2020-09-18 16:50:05.547	3.3s	3.2s	59.5%	6.2 MB	29.5 MB	81.9 MB	13.6 KB
749	b4/7518ea	7131	samtoolsIndex (748)	COMPLETED	0	2020-09-18 16:49:58.079	12.7s	12.5s	63.9%	6.3 MB	29.6 MB	312.7 MB	13.8 KB
751	49/e1dda8	10577	samtoolsIndex (750)	COMPLETED	0	2020-09-18 16:50:08.314	2.9s	2.7s	67.5%	6.2 MB	29.5 MB	66.9 MB	13.4 KB
747	e5/4669d0	7488	samtoolsIndex (746)	COMPLETED	0	2020-09-18 16:49:58.657	13s	12.9s	63.4%	6.2 MB	29.5 MB	339.1 MB	14 KB
750	e8/629bd7	9279	samtoolsIndex (749)	COMPLETED	0	2020-09-18 16:50:04.744	8.1s	7.9s	67.7%	6 MB	29.5 MB	205.2 MB	13.6 KB
757	2d/87e325	10835	samtoolsIndex (756)	COMPLETED	0	2020-09-18 16:50:08.888	9.1s	8.9s	62.9%	6.1 MB	29.5 MB	216.3 MB	13.6 KB
759	e1/cb5dea	12362	samtoolsIndex (758)	COMPLETED	0	2020-09-18 16:50:12.882	9.9s	9.7s	65.1%	6.1 MB	29.5 MB	226.3 MB	13.7 KB
734	85/210b68	3639	samtoolsIndex (733)	COMPLETED	0	2020-09-18 16:49:47.670	36.5s	36.4s	67.5%	6.2 MB	29.6 MB	917.8 MB	15.9 KB
753	bf/faa21c	11489	samtoolsIndex (752)	COMPLETED	0	2020-09-18 16:50:10.735	14.8s	14.6s	64.3%	6.2 MB	29.6 MB	372.3 MB	13.9 KB
